window,timestamp,y_true,y_pred
0,2025-08-31,232.13999938964844,232.71197509765625
0,2025-09-01,232.13999938964844,232.56451416015625
0,2025-09-02,229.72000122070312,232.29319763183594
0,2025-09-03,238.47000122070312,232.24374389648438
0,2025-09-04,239.77999877929688,232.2092742919922
1,2025-09-05,239.69000244140625,239.3888702392578
1,2025-09-06,239.69000244140625,238.92242431640625
1,2025-09-07,239.69000244140625,238.48033142089844
1,2025-09-08,237.8800048828125,238.06275939941406
1,2025-09-09,234.3500061035156,237.58055114746094
2,2025-09-10,226.7899932861328,234.597900390625
2,2025-09-11,230.02999877929688,234.0974578857422
2,2025-09-12,234.07000732421875,233.61505126953125
2,2025-09-13,234.07000732421875,233.46939086914062
2,2025-09-14,234.07000732421875,233.23892211914062
3,2025-09-15,236.6999969482422,234.55213928222656
3,2025-09-16,238.1499938964844,234.15798950195312
3,2025-09-17,238.9900054931641,233.59397888183594
3,2025-09-18,237.8800048828125,233.67030334472656
3,2025-09-19,245.5,233.4753875732422
4,2025-09-20,245.5,245.93014526367188
4,2025-09-21,245.5,245.51889038085938
4,2025-09-22,256.0799865722656,244.78089904785156
4,2025-09-23,254.42999267578125,244.6650390625
4,2025-09-24,252.30999755859372,244.04994201660156
5,2025-09-25,256.8699951171875,252.5448760986328
5,2025-09-26,255.4600067138672,251.8743438720703
5,2025-09-27,255.4600067138672,251.62977600097656
5,2025-09-28,255.4600067138672,251.60374450683594
5,2025-09-29,254.42999267578125,251.19912719726562
